order_book_id,date,num_trades,total_turnover,volume,high,low,limit_down,prev_close,open,close,limit_up
600000.XSHG,2025-01-02,68602.0,803904040.0,78907129.0,10.113367013909798,9.754255133377495,8.987502739808516,10.29,9.996898295899323,9.83190094538448,10.986882398988381
600000.XSHG,2025-01-03,56430.0,511576494.0,50693944.0,9.919252483892336,9.725137953874873,8.85162256879629,10.13,9.822195218883603,9.763960859878367,10.812179321972664
600000.XSHG,2025-01-06,69426.0,804593504.0,79801276.0,9.89984103089059,9.521317697356539,8.783682483290182,10.06,9.83190094538448,9.851312398386225,10.744239236466552
600000.XSHG,2025-01-07,41296.0,411488492.0,40265146.0,9.996898295899323,9.812489492382731,8.871034021798039,10.15,9.812489492382731,9.9677811163967,10.841296501475282
600000.XSHG,2025-01-08,51009.0,496301045.0,48237450.0,10.064838381405432,9.89984103089059,8.96809128680677,10.27,9.958075389895829,9.996898295899323,10.967470945986635
600000.XSHG,2025-01-09,47077.0,401208215.0,39221854.0,10.026015475401941,9.83190094538448,8.997208466309388,10.3,10.026015475401941,9.890135304389716,10.996588125489254
600000.XSHG,2025-01-10,44178.0,324388873.0,31933534.0,9.977486842897575,9.734843680375747,8.900151201300657,10.19,9.92895821039321,9.83190094538448,10.880119407478777
600000.XSHG,2025-01-13,53422.0,381632220.0,38217749.0,9.83190094538448,9.560140603360031,8.85162256879629,10.13,9.763960859878367,9.705726500873128,10.812179321972664
600000.XSHG,2025-01-14,49022.0,390328866.0,38658714.0,9.909546757391464,9.647492141867888,8.735153850785816,10.0,9.734843680375747,9.861018124887098,10.67629915096044
600000.XSHG,2025-01-15,48451.0,394080520.0,38460814.0,10.08424983440718,9.83190094538448,8.871034021798039,10.16,9.861018124887098,9.909546757391464,10.851002227976156
600000.XSHG,2025-01-16,45692.0,344708150.0,33768888.0,10.006604022400195,9.83190094538448,8.919562654302403,10.21,9.987192569398447,9.909546757391464,10.899530860480523
600000.XSHG,2025-01-17,48259.0,426549432.0,41663218.0,9.996898295899323,9.783372312880113,8.919562654302403,10.21,9.948369663394956,9.9677811163967,10.899530860480523
600000.XSHG,2025-01-20,51446.0,388948241.0,37442622.0,10.142484193412418,9.92895821039321,8.96809128680677,10.27,10.016309748901067,10.064838381405432,10.967470945986635
600000.XSHG,2025-01-21,44034.0,320946733.0,30852134.0,10.171601372915038,9.9677811163967,9.055442825314628,10.37,10.05513265490456,10.064838381405432,11.074233937496238
600000.XSHG,2025-01-22,55570.0,589944614.0,58374206.0,10.074544107906307,9.715432227374,9.055442825314628,10.37,10.026015475401941,9.734843680375747,11.074233937496238
600000.XSHG,2025-01-23,58800.0,670951809.0,65580692.0,10.064838381405432,9.763960859878367,8.764271030288434,10.03,9.812489492382731,10.006604022400195,10.70541633046306
600000.XSHG,2025-01-24,60612.0,752560118.0,72463834.0,10.18130709941591,9.87072385138797,9.006914192810262,10.31,9.958075389895829,10.08424983440718,11.006293851990126
600000.XSHG,2025-01-27,56434.0,632694603.0,59488208.0,10.385127355934246,10.093955560908054,9.074854278316375,10.39,10.113367013909798,10.336598723429882,11.093645390497985
600000.XSHG,2025-02-05,57355.0,542382245.0,51723455.0,10.375421629433372,10.093955560908054,9.307791714337329,10.65,10.346304449930754,10.103661287408926,11.375111459023307
600000.XSHG,2025-02-06,42749.0,400818917.0,38598431.0,10.191012825916784,9.996898295899323,9.094265731318119,10.41,10.074544107906307,10.123072740410672,11.11305684349973
600000.XSHG,2025-02-07,44008.0,472723881.0,45600119.0,10.142484193412418,9.996898295899323,9.113677184319867,10.43,10.123072740410672,10.035721201902813,11.132468296501479
600000.XSHG,2025-02-10,39570.0,426297964.0,41234671.0,10.132778466911544,9.92895821039321,9.036031372312882,10.34,10.016309748901067,9.9677811163967,11.035411031492746
600000.XSHG,2025-02-11,38541.0,356843470.0,34651727.0,10.074544107906307,9.92895821039321,8.96809128680677,10.27,9.987192569398447,9.996898295899323,10.967470945986635
600000.XSHG,2025-02-12,33143.0,342797074.0,33100308.0,10.113367013909798,9.938663936894082,8.997208466309388,10.3,10.016309748901067,10.103661287408926,10.996588125489254
600000.XSHG,2025-02-13,40014.0,501218511.0,48454342.0,10.132778466911544,9.996898295899323,9.094265731318119,10.41,10.08424983440718,10.006604022400195,11.11305684349973
600000.XSHG,2025-02-14,43918.0,581842513.0,56300581.0,10.123072740410672,9.948369663394956,9.006914192810262,10.31,10.045426928403687,10.103661287408926,11.006293851990126
600000.XSHG,2025-02-17,44253.0,538356331.0,52311132.0,10.152189919913292,9.89984103089059,9.094265731318119,10.41,10.132778466911544,9.9677811163967,11.11305684349973
600000.XSHG,2025-02-18,52889.0,654395131.0,62783988.0,10.229835731920275,9.909546757391464,8.96809128680677,10.27,9.958075389895829,10.191012825916784,10.967470945986635
600000.XSHG,2025-02-19,45566.0,444710362.0,42364339.0,10.278364364424641,10.113367013909798,9.171911543325105,10.5,10.142484193412418,10.132778466911544,11.210114108508463
600000.XSHG,2025-02-20,33886.0,283297510.0,27223599.0,10.18130709941591,10.035721201902813,9.123382910820741,10.44,10.113367013909798,10.08424983440718,11.142174023002351
600000.XSHG,2025-02-21,40174.0,519161893.0,50391537.0,10.123072740410672,9.92895821039321,9.074854278316375,10.39,10.08424983440718,9.987192569398447,11.093645390497985
600000.XSHG,2025-02-24,43571.0,447600690.0,43741415.0,10.006604022400195,9.890135304389716,8.987502739808516,10.29,9.9677811163967,9.909546757391464,10.986882398988381
600000.XSHG,2025-02-25,43520.0,377213137.0,37159866.0,9.948369663394956,9.773666586379239,8.919562654302403,10.21,9.89984103089059,9.802783765881859,10.899530860480523
600000.XSHG,2025-02-26,57981.0,567601088.0,55536705.0,10.016309748901067,9.822195218883603,8.822505389293672,10.1,9.851312398386225,9.880429577888844,10.783062142470044
600000.XSHG,2025-02-27,43134.0,387232885.0,37999169.0,9.958075389895829,9.812489492382731,8.890445474799785,10.18,9.919252483892336,9.938663936894082,10.870413680977903
600000.XSHG,2025-02-28,49667.0,457102788.0,44651100.0,9.996898295899323,9.87072385138797,8.948679833805024,10.24,9.92895821039321,9.87072385138797,10.928648039983141
600000.XSHG,2025-03-03,49273.0,436849850.0,43010899.0,9.919252483892336,9.783372312880113,8.880739748298913,10.17,9.890135304389716,9.851312398386225,10.860707954477029
600000.XSHG,2025-03-04,32467.0,301634439.0,29769782.0,9.890135304389716,9.802783765881859,8.871034021798039,10.15,9.802783765881859,9.802783765881859,10.841296501475282
600000.XSHG,2025-03-05,43576.0,424730036.0,41686357.0,9.958075389895829,9.754255133377495,8.822505389293672,10.1,9.841606671885351,9.948369663394956,10.783062142470044
600000.XSHG,2025-03-06,46545.0,441681584.0,43499424.0,9.958075389895829,9.783372312880113,8.958385560305897,10.25,9.948369663394956,9.83190094538448,10.948059492984887
600000.XSHG,2025-03-07,44813.0,374991809.0,37005882.0,9.890135304389716,9.763960859878367,8.85162256879629,10.13,9.851312398386225,9.841606671885351,10.812179321972664
600000.XSHG,2025-03-10,49348.0,438534236.0,43594496.0,9.841606671885351,9.715432227374,8.861328295297167,10.14,9.802783765881859,9.802783765881859,10.821885048473538
600000.XSHG,2025-03-11,35508.0,354675247.0,35208198.0,9.822195218883603,9.734843680375747,8.822505389293672,10.1,9.744549406876619,9.822195218883603,10.783062142470044
600000.XSHG,2025-03-12,43361.0,433414445.0,42868920.0,9.880429577888844,9.715432227374,8.841916842295419,10.12,9.822195218883603,9.822195218883603,10.802473595471792
600000.XSHG,2025-03-13,46598.0,476613669.0,46714351.0,9.948369663394956,9.822195218883603,8.841916842295419,10.12,9.861018124887098,9.919252483892336,10.802473595471792
600000.XSHG,2025-03-14,65607.0,815108919.0,78422138.0,10.18130709941591,9.938663936894082,8.929268380803277,10.22,9.977486842897575,10.113367013909798,10.909236586981395
600000.XSHG,2025-03-17,50590.0,626647199.0,59251416.0,10.346304449930754,10.08424983440718,9.103971457818995,10.42,10.23954145842115,10.288070090925515,11.122762570000605
600000.XSHG,2025-03-18,40759.0,436226250.0,40970582.0,10.404538808935992,10.210424278918529,9.259263081832962,10.6,10.317187270428136,10.326892996929008,11.316877100018067
600000.XSHG,2025-03-19,37795.0,367827209.0,34604830.0,10.3657159029325,10.249247184922023,9.298085987836457,10.64,10.278364364424641,10.336598723429882,11.355700006021559
600000.XSHG,2025-03-20,38240.0,314685882.0,29548507.0,10.375421629433372,10.288070090925515,9.307791714337329,10.65,10.326892996929008,10.346304449930754,11.375111459023307
600000.XSHG,2025-03-21,53380.0,594649834.0,56344163.0,10.404538808935992,10.103661287408926,9.307791714337329,10.66,10.317187270428136,10.161895646414164,11.384817185524179
600000.XSHG,2025-03-24,55145.0,489527179.0,46449659.0,10.317187270428136,10.113367013909798,9.142794363822485,10.47,10.113367013909798,10.297775817426388,11.180996929005843
600000.XSHG,2025-03-25,45758.0,401332739.0,37875416.0,10.375421629433372,10.191012825916784,9.268968808333838,10.61,10.336598723429882,10.297775817426388,11.32658282651894
600000.XSHG,2025-03-26,40955.0,385049554.0,36660981.0,10.297775817426388,10.142484193412418,9.268968808333838,10.61,10.288070090925515,10.161895646414164,11.32658282651894
600000.XSHG,2025-03-27,43525.0,449288519.0,42508671.0,10.346304449930754,10.161895646414164,9.142794363822485,10.47,10.191012825916784,10.23954145842115,11.180996929005843
600000.XSHG,2025-03-28,46144.0,382165241.0,36572944.0,10.258952911422895,10.103661287408926,9.220440175829472,10.55,10.220130005419403,10.132778466911544,11.2683484675137
600000.XSHG,2025-03-31,58485.0,518371937.0,49360687.0,10.317187270428136,10.045426928403687,9.123382910820741,10.44,10.161895646414164,10.123072740410672,11.142174023002351
